t,f
1316,548
1317,533
1318,486
1319,694
1320,483
1321,43
1331,471
1332,383
1333,429
1334,15
1339,384
1340,620
1341,722
1342,542
1343,553
1344,642
1345,543
1355,350
1356,557
1357,379
1358,80
1363,218
1364,1011
1365,631
1366,1077
1367,838
1368,999
1369,490
1370,159
1374,422
1375,600
1376,705
1377,382
1378,605
1379,628
1380,542
1381,1
1391,411
1392,652
1393,197
1399,346
1400,754
1401,605
1402,645
1403,467
1404,557
1405,517
1406,175
1415,443
1416,473
1417,428
1423,355
1424,1207
1425,1436
1426,782
1427,581
1428,774
1429,310
1432,613
1433,789
1434,494
1435,504
1436,584
1437,587
1438,290
1449,347
1450,546
1451,469
1457,278
1458,645
1459,776
1460,489
1461,605
1462,633
1463,546
1473,526
1474,644
1475,216
1481,505
1482,767
1483,319
1484,1070
1485,1303
1486,649
1487,580
1488,203
1492,501
1493,997
1494,375
1495,566
1496,598
1497,727
1498,91
1507,12
1508,724
1509,485
1510,120
1516,765
1517,628
1518,415
1519,631
1520,541
1521,532
1522,516
1532,357
1533,545
1534,290
1535,138
1540,392
1541,828
1542,1174
1543,796
1544,967
1545,673
1546,615
1550,427
1551,479
1552,773
1553,473
1554,518
1555,606
1556,484
1557,69
1567,442
1568,554
1569,328
1575,365
1576,716
1577,598
1578,588
1579,638
1580,757
1581,385
1591,408
1592,513
1593,462
1599,315
1600,752
1601,1151
1602,1032
1603,840
1604,735
1605,524
1609,296
1610,949
1611,475
1612,561
1613,529
1614,514
1615,480
1616,75
1626,454
1627,334
1628,540
1634,374
1635,481
1636,855
1637,535
1638,624
1639,631
1640,498
1641,76
1650,396
1651,622
1652,321
1653,2
1658,312
1659,980
1660,1053
1661,854
1662,1108
1663,646
1664,457
1668,528
1669,425
1670,700
1671,438
1672,495
1673,610
1674,625
1685,463
1686,549
1687,264
1688,82
1693,355
1694,845
1695,640
1696,635
1697,580
1698,716
1699,287
1709,428
1710,468
1711,536
1717,283
1718,876
1719,1170
1720,877
1721,760
1722,577
1723,676
1724,10
1727,472
1728,948
1729,509
1730,436
1731,621
1732,597
1733,274
1743,603
1744,440
1745,326
1751,580
1752,708
1753,567
1754,602
1755,578
1756,660
1757,375
1767,344
1768,592
1769,337
1770,87
1775,304
1776,1014
1777,949
1778,928
1779,1011
1780,550
1781,535
1782,82
1785,379
1786,590
1787,808
1788,564
1789,484
1790,725
1791,228
1801,453
1802,521
1803,296
1804,109
1809,337
1810,778
1811,696
1812,670
1813,607
1814,669
1815,323
1825,489
1826,609
1827,342
1833,635
1834,1197
1835,1086
1836,758
1837,660
1838,757
1839,207
1842,348
1843,1014
1844,416
1845,437
1846,577
1847,558
1848,424
1859,504
1860,431
1861,417
1867,398
1868,1259
1869,1511
1870,566
1871,662
1872,677
1873,426
1876,495
1877,1441
1878,937
1879,829
1880,678
1881,611
1882,352
1885,508
1886,611
1887,589
1888,623
1889,677
1890,741
1891,58
1902,360
1903,667
1904,202
1905,107
1910,293
1911,763
1912,1283
1913,1287
1914,655
1915,591
1916,572
1917,66
1920,438
1921,866
1922,980
1923,1037
1924,841
1925,628
1926,550
1927,68
1930,468
1931,521
1932,657
1933,622
1934,542
1935,633
1936,319
1946,335
1947,529
1948,511
1954,258
1955,718
1956,1368
1957,937
1958,970
1959,684
1960,536
1964,750
1965,618
1966,907
1967,1337
1968,572
1969,605
1970,575
1974,342
1975,954
1976,441
1977,454
1978,506
1979,505
1980,572
1990,563
1991,540
1992,279
1998,662
1999,655
2000,690
2001,1226
2002,1015
2003,666
2004,433
2005,62
2008,204
2009,975
2010,1100
2011,1052
2012,607
2013,621
2014,641
2015,167
2018,521
2019,667
2020,571
2021,570
2022,694
2023,569
2024,239
2035,406
2036,622
2037,248
2038,96
2043,348
2044,874
2045,1032
2046,914
2047,904
2048,587
2049,616
2050,119
2053,497
2054,517
2055,1250
2056,1074
2057,663
2058,849
2059,563
2063,637
2064,655
2065,500
2066,515
2067,504
2068,577
2069,435
2079,552
2080,467
2081,403
2087,512
2088,626
2089,1152
2090,1062
2091,860
2092,632
2093,622
2094,1
2097,499
2098,649
2099,1035
2100,1177
2101,670
2102,650
2103,609
2104,57
2107,430
2108,773
2109,478
2110,642
2111,555
2112,645
2113,221
2123,560
2124,327
2125,323
2126,141
2131,741
2132,478
2133,877
2134,1242
2135,773
2136,546
2137,643
2138,198
2141,319
2142,893
2143,888
2144,873
2145,1016
2146,622
2147,703
2148,109
2151,361
2152,713
2153,536
2154,579
2155,571
2156,550
2157,394
2168,386
2169,743
2170,285
2176,366
2177,893
2178,863
2179,1135
2180,1015
2181,611
2182,577
2186,402
2187,724
2188,970
2189,1085
2190,926
2191,557
2192,628
2193,80
2196,494
2197,866
2198,519
2199,615
2200,757
2201,516
2202,1
2213,373
2214,560
2215,467
2221,288
2222,681
2223,772
2224,465
2225,521
2226,537
2227,765
2228,47
2490,172
2491,629
2492,430
2493,165
2498,67
2499,863
2500,1118
2501,1039
2502,680
2503,733
2504,679
2505,134
2508,322
2509,840
2510,505
2511,685
2512,508
2513,445
2514,492
2525,477
2526,286
2527,566
2528,18
2533,473
2534,533
2535,1168
2536,1245
2537,898
2538,620
2539,552
2543,241
2544,1062
2545,178
2546,940
2547,1090
2548,1017
2549,600
2550,260
2554,365
2555,870
2556,548
2557,539
2558,565
2559,678
2560,188
2571,267
2572,497
2573,474
2574,146
2579,145
2580,638
2581,1076
2582,902
2583,1129
2584,762
2585,582
2586,261
2589,141
2590,482
2591,1392
2592,1067
2593,834
2594,602
2595,592
2596,200
2599,396
2600,725
2601,606
2602,558
2603,625
2604,556
2605,330
2616,330
2617,408
2618,596
2619,40
2624,208
2625,503
2626,665
2627,1104
2628,1086
2629,922
2630,599
2631,408
2635,227
2636,641
2637,1036
2638,1085
2639,786
2640,642
2641,699
2642,193
2645,170
2646,647
2647,722
2648,502
2649,573
2650,437
2651,565
2652,193
2662,454
2663,382
2664,377
2665,166
2670,494
2671,506
2672,763
2673,1299
2674,967
2675,837
2676,604
2680,138
2681,843
2682,1180
2683,820
2684,1023
2685,626
2686,667
2687,65
2690,444
2691,521
2692,642
2693,557
2694,550
2695,550
2696,526
2697,8
2707,322
2708,536
2709,388
2710,125
2715,260
2716,782
2717,519
2718,1146
2719,1007
2720,925
2721,613
2722,167
2726,463
2727,538
2728,767
2729,987
2730,1129
2731,765
2732,615
2733,154
2737,436
2738,849
2739,243
2740,534
2741,525
2742,429
2743,693
2744,72
2754,464
2755,423
2756,520
2762,309
2763,603
2764,1294
2765,988
2766,894
2767,699
2768,651
2769,9
2772,282
2773,786
2774,1063
2775,1232
2776,787
2777,607
2778,613
2779,31
2782,305
2783,959
2784,428
2785,485
2786,529
2787,704
2788,313
2799,490
2800,620
2801,253
2807,469
2808,815
2809,355
2810,837
2811,1154
2812,1050
2813,642
2814,171
2818,290
2819,752
2820,1201
2821,936
2822,870
2823,576
2824,688
2828,263
2829,594
2830,653
2831,514
2832,484
2833,613
2834,589
2835,137
2845,350
2846,677
2847,293
2853,274
2854,901
2855,978
2856,845
2857,902
2858,905
2859,711
2863,359
2864,586
2865,1082
2866,1341
2867,616
2868,574
2869,703
2870,98
2873,315
2874,942
2875,378
2876,487
2877,465
2878,538
2879,652
2890,207
2891,397
2892,521
2893,267
2898,110
2899,533
2900,1000
2901,1262
2902,887
2903,786
2904,555
2905,272
2908,207
2909,815
2910,511
2911,840
2912,939
2913,1024
2914,672
2915,413
2916,2
2919,236
2920,628
2921,695
2922,495
2923,533
2924,540
2925,523
2926,124
2936,354
2937,573
2938,404
2939,37
2944,287
2945,835
2946,824
2947,884
2948,1180
2949,706
2950,649
2951,61
2954,212
2955,445
2956,1073
2957,884
2958,951
2959,1027
2960,656
2961,214
2965,389
2966,773
2967,564
2968,477
2969,611
2970,538
2971,401
2982,320
2983,381
2984,590
2985,78
2990,227
2991,487
2992,894
2993,862
2994,777
2995,1207
2996,647
2997,413
3001,316
3002,463
3003,800
3004,550
3005,385
3006,1004
3007,1242
3008,441
3009,124
3010,9
3014,472
3015,674
3016,527
3017,616
3018,519
3019,771
3020,197
3031,362
3032,327
3033,262
3034,421
3039,324
3040,430
3041,453
3042,1324
3043,837
3044,899
3045,857
3046,363
3050,225
3051,841
3052,964
3053,1037
3054,902
3055,493
3056,639
3057,244
3060,261
3061,733
3062,737
3063,551
3064,601
3065,643
3066,259
3077,239
3078,575
3079,323
3080,240
3085,155
3086,674
3087,902
3088,1169
3089,1185
3090,650
3091,689
3092,40
3095,271
3096,940
3097,935
3098,1448
3099,803
3100,531
3101,458
3105,153
3106,1060
3107,362
3108,559
3109,740
3110,690
3111,177
3122,463
3123,444
3124,487
3130,320
3131,617
3132,1192
3133,1172
3134,871
3135,747
3136,525
3140,243
3141,880
3142,875
3143,1000
3144,1070
3145,547
3146,693
3147,51
3150,225
3151,526
3152,831
3153,505
3154,616
3155,741
3156,377
3167,392
3168,734
3169,204
3170,21
3175,284
3176,1015
3177,902
3178,839
3179,1084
3180,617
3181,646
3182,131
3185,328
3186,515
3187,929
3188,1014
3189,954
3190,610
3191,356
3192,662
3193,8
3196,341
3197,945
3198,331
3199,514
3200,540
3201,598
3202,497
3203,2
3213,355
3214,266
3215,595
3216,169
3217,7
3221,339
3222,493
3223,914
3224,810
3225,923
3226,840
3227,826
3228,377
3232,196
3233,835
3234,540
3235,861
3236,965
3237,946
3238,544
3239,394
3240,7
3243,237
3244,557
3245,642
3246,683
3247,643
3248,641
3249,372
3260,410
3261,556
3262,394
3263,18
3268,318
3269,875
3270,950
3271,938
3272,1087
3273,910
3274,374
3278,168
3279,551
3280,633
3281,1074
3282,1187
3283,837
3284,675
3285,251
3289,203
3290,706
3291,639
3292,547
3293,451
3294,712
3295,526
3296,3
3306,459
3307,229
3308,693
3309,21
3314,277
3315,619
3316,1175
3317,1216
3318,894
3319,501
3320,584
3321,185
3324,274
3325,1007
3326,864
3327,1035
3328,954
3329,690
3330,497
3334,293
3335,687
3336,736
3337,527
3338,524
3339,629
3340,431
3351,428
3352,537
3353,335
3354,80
3359,249
3360,814
3361,617
3362,904
3363,875
3364,1264
3365,636
3366,182
3370,144
3371,628
3372,770
3373,1047
3374,1215
3375,551
3376,593
3377,323
3381,513
3382,567
3383,629
3384,523
3385,498
3386,596
3387,461
3388,4
3398,254
3399,405
3400,623
3401,77
3406,136
3407,580
3408,755
3409,954
3410,903
3411,1069
3412,672
3413,420
3417,277
3418,490
3419,1237
3420,1133
3421,923
3422,687
3423,610
3424,12
3427,314
3428,573
3429,746
3430,523
3431,630
3432,563
3433,407
3434,7
3444,307
3445,445
3446,449
3447,89
3448,4
3452,196
3453,630
3454,1198
3455,944
3456,1166
3457,769
3458,503
3459,248
3462,352
3463,674
3464,742
3465,834
3466,1163
3467,665
3468,658
3469,135
3473,584
3474,671
3475,321
3476,388
3477,615
3478,654
3479,571
3784,288
3785,329
3786,546
3787,176
3788,29
3792,207
3793,595
3794,1175
3795,1397
3796,836
3797,567
3798,568
3799,113
3802,507
3803,732
3804,412
3805,877
3806,964
3807,1083
3808,665
3809,124
3813,316
3814,606
3815,780
3816,478
3817,653
3818,673
3819,276
3830,358
3831,386
3832,472
3833,138
3838,120
3839,599
3840,620
3841,1156
3842,1032
3843,1091
3844,689
3845,179
3849,314
3850,590
3851,820
3852,722
3853,1204
3854,917
3855,656
3856,126
3860,146
3861,807
3862,597
3863,469
3864,506
3865,573
3866,578
3867,119
3877,56
3878,284
3879,443
3880,500
3881,98
3886,351
3887,548
3888,1014
3889,521
3890,394
3891,612
3892,505
3893,148
3922,213
3923,550
3924,474
3925,105
3930,114
3931,792
3932,626
3933,761
3934,1054
3935,1210
3936,679
3937,180
3941,127
3942,565
3943,742
3944,450
3945,506
3946,553
3947,659
3948,178
3958,39
3959,607
3960,484
3961,292
3967,675
3968,725
3969,541
3970,949
3971,1260
3972,846
3973,473
3978,482
3979,855
3980,490
3981,1165
3982,1018
3983,838
3984,492
3989,533
3990,772
3991,697
3992,506
3993,636
3994,598
3995,23
4005,286
4006,454
4007,592
4008,16
4013,142
4014,626
4015,645
4016,1096
4017,1279
4018,690
4019,703
4020,335
4024,399
4025,852
4026,453
4027,964
4028,1055
4029,702
4030,638
4031,272
4035,398
4036,763
4037,543
4038,590
4039,603
4040,786
4041,106
4052,276
4053,732
4054,340
4055,3
4060,229
4061,778
4062,1034
4063,971
4064,1098
4065,728
4066,595
4067,89
4070,179
4071,581
4072,1328
4073,1258
4074,807
4075,516
4076,632
4080,213
4081,698
4082,670
4083,600
4084,519
4085,664
4086,475
4097,283
4098,413
4099,646
4100,23
4105,151
4106,583
4107,656
4108,642
4109,1038
4110,1152
4111,806
4112,489
4117,594
4118,1158
4119,1132
4120,962
4121,537
4122,712
4123,255
4126,330
4127,753
4128,568
4129,397
4130,581
4131,634
4132,460
4133,58
4143,463
4144,364
4145,482
4146,87
4151,407
4152,715
4153,993
4154,983
4155,1042
4156,686
4157,390
4158,270
4161,260
4162,649
4163,833
4164,618
4165,1179
4166,891
4167,856
4168,93
4172,258
4173,753
4174,752
4175,642
4176,518
4177,924
4178,796
4179,329
4180,410
4181,139
4185,141
4186,801
4187,938
4188,1057
4189,984
4190,630
4191,550
4192,350
4193,2
4195,365
4196,543
4197,1154
4198,984
4199,989
4200,789
4201,559
4202,56
4205,357
4206,619
4207,592
4208,654
4209,553
4210,497
4211,408
4212,196
4230,296
4231,438
4232,436
4233,173
4238,122
4239,764
4240,702
4241,1032
4242,1006
4243,902
4244,708
4245,284
4249,338
4250,997
4251,665
4252,968
4253,1040
4254,607
4255,687
4256,75
4259,249
4260,633
4261,911
4262,665
4263,507
4264,622
4265,278
4276,440
4277,632
4278,282
4284,385
4285,943
4286,863
4287,997
4288,1070
4289,710
4290,469
4291,6
4294,222
4295,1172
4296,1367
4297,1094
4298,875
4299,520
4300,170
4303,284
4304,849
4305,574
4306,668
4307,709
4308,573
4309,244
4320,415
4321,355
4322,537
4323,85
4328,339
4329,496
4330,1268
4331,1198
4332,865
4333,595
4334,567
4335,176
4338,372
4339,1063
4340,980
4341,759
4342,632
4343,915
4344,551
4345,73
4348,454
4349,591
4350,361
4351,554
4352,688
4353,330
4354,575
4355,304
4365,395
4366,577
4367,363
4368,38
4373,245
4374,852
4375,1174
4376,977
4377,952
4378,524
4379,616
4380,105
4383,363
4384,649
4385,1208
4386,1021
4387,894
4388,570
4389,565
4390,218
4393,358
4394,792
4395,540
4396,509
4397,603
4398,649
4399,356
4400,1
4410,527
4411,580
4412,241
4418,426
4419,741
4420,1035
4421,1222
4422,846
4423,722
4424,529
4428,164
4429,948
4430,889
4431,1045
4432,1028
4433,631
4434,674
4435,7
4438,485
4439,540
4440,797
4441,513
4442,524
4443,707
4444,336
4457,300
4458,740
4459,282
4460,4
4465,146
4466,833
4467,850
4468,1143
4469,1201
4470,671
4471,408
4472,251
4476,573
4477,790
4478,452
4479,589
4480,611
4481,662
4482,415
4493,468
4494,612
4495,219
4496,18
4501,216
4502,986
4503,413
4504,532
4505,620
4506,589
4507,530
4508,64
4518,288
4519,517
4520,530
4526,96
4527,786
4528,1214
4529,878
4530,739
4531,674
4532,676
4533,340
4534,1
4536,383
4537,855
4538,616
4539,569
4540,640
4541,583
4542,435
4543,61
4553,345
4554,635
4555,355
4561,278
4562,820
4563,527
4564,602
4565,440
4566,557
4567,726
4568,18
4578,403
4579,514
4580,410
4581,2
4586,291
4587,687
4588,748
4589,951
4590,1208
4591,1088
4592,580
4597,68
4598,928
4599,682
4600,442
4601,571
4602,584
4603,542
4604,139
4615,368
4616,582
4617,401
4623,261
4624,774
4625,731
4626,498
4627,623
4628,639
4629,473
4640,611
4641,499
4642,259
4648,510
4649,754
4650,926
4651,1171
4652,876
4653,693
4654,542
4658,314
4659,883
4660,534
4661,460
4662,523
4663,593
4664,640
4675,574
4676,423
4677,327
4683,351
4684,711
4685,559
4686,587
4687,608
4688,735
4689,352
4690,162
4699,245
4700,539
4701,556
4702,4
4707,61
4708,585
4709,1421
4710,1027
4711,898
4712,600
4713,630
4714,269
4717,377
4718,774
4719,623
4720,564
4721,633
4722,737
4723,248
4734,479
4735,666
4736,243
4737,1
4742,429
4743,874
4744,485
4745,555
4746,575
4747,696
4748,414
4758,462
4759,385
4760,469
4761,2
4766,274
4767,681
4768,1156
4769,1256
4770,945
4771,751
4772,433
4776,125
4777,873
4778,713
4779,511
4780,428
4781,593
4782,610
4783,78
4793,346
4794,277
4795,569
4796,130
4801,222
4802,485
4803,714
4804,664
4805,586
4806,528
4807,694
4808,214
4817,298
4818,781
4819,277
4825,167
4826,820
4827,1060
4828,1098
4829,989
4830,645
4831,562
4832,104
4835,289
4836,675
4837,703
4838,615
4839,696
4840,688
4841,251
4852,386
4853,630
4854,350
4855,11
4860,272
4861,873
4862,644
4863,441
4864,580
4865,568
4866,466
4867,218
4876,208
4877,507
4878,561
4879,110
4885,655
4886,841
4887,1033
4888,1124
4889,1145
4890,412
4891,134
4895,393
4896,1025
4897,743
4898,572
4899,782
4900,523
4904,2
4912,129
4913,516
4914,494
4915,218
4921,641
4922,564
4923,684
4924,677
4925,486
4926,661
4927,383
4937,158
4938,667
4939,483
4940,54
4945,1
4946,829
4947,742
4948,1113
4949,1190
4950,719
4951,734
4952,83
4956,496
4957,896
4958,387
4959,667
4960,543
4961,706
4962,253
4973,222
4974,696
4975,314
4976,84
4981,49
4982,937
4983,597
4984,579
4985,545
4986,545
4987,680
4988,218
4998,258
4999,535
5000,446
5001,115
5006,108
5007,597
5008,1194
5009,1143
5010,985
5011,746
5012,562
5013,119
5016,82
5017,952
5018,553
5019,411
5020,569
5021,585
5022,737
5023,32
5033,387
5034,663
5035,344
5041,179
5042,854
5043,999
5044,1178
5045,849
5046,741
5047,392
5048,322
5051,76
5052,975
5053,442
5054,852
5055,1035
5056,1005
5057,748
5058,243
5062,86
5063,594
5064,975
5065,437
5066,530
5067,633
5068,619
5069,28
5079,260
5080,688
5081,347
5082,51
5087,214
5088,861
5089,487
5090,734
5091,1071
5092,1155
5093,820
5094,175
5099,665
5100,965
5101,1052
5102,1082
5103,771
5104,702
5105,129
5109,701
5110,735
5111,556
5112,443
5113,684
5114,727
5115,108
5126,411
5127,516
5128,353
5129,77
5134,359
5135,856
5136,1144
5137,1033
5138,708
5139,917
5140,486
5144,403
5145,625
5146,473
5147,1075
5148,1154
5149,845
5150,666
5151,286
5155,280
5156,808
5157,1077
5158,905
5159,934
5160,717
5161,487
5162,180
5165,488
5166,584
5167,1016
5168,990
5169,1051
5170,738
5171,612
5175,143
5176,548
5177,1094
5178,1386
5179,1113
5180,625
5181,495
5182,95
5185,312
5186,679
5187,781
5188,417
5189,584
5190,529
5191,685
5192,121
5212,255
5213,694
5214,411
5215,1
5220,17
5221,877
5222,721
5223,708
5224,1088
5225,1174
5226,683
5227,206
5231,201
5232,562
5233,1387
5234,991
5235,994
5236,525
5237,752
5238,109
5241,391
5242,769
5243,832
5244,1038
5245,978
5246,689
5247,748
5251,221
5252,580
5253,1385
5254,1124
5255,838
5256,521
5257,485
5258,294
5261,446
5262,794
5263,1038
5264,1102
5265,909
5266,564
5267,571
5271,303
5272,633
5273,791
5274,1070
5275,1088
5276,729
5277,713
5278,255
5282,505
5283,711
5284,534
5285,900
5286,1288
5287,832
5288,658
5289,48
5293,480
5294,686
5295,973
5296,991
5297,905
5298,652
5299,752
5303,418
5304,773
5305,1036
5306,1074
5307,957
5308,612
5309,528
5310,129
5313,236
5314,890
5315,1190
5316,1030
5317,906
5318,695
5319,451
5323,530
5324,680
5325,907
5326,1087
5327,939
5328,711
5329,667
5330,1
5333,232
5334,662
5335,708
5336,1091
5337,903
5338,965
5339,551
5340,358
5344,198
5345,683
5346,1154
5347,1402
5348,758
5349,603
5350,635
5351,4
5354,213
5355,998
5356,427
5357,904
5358,1143
5359,970
5360,592
5361,276
5365,220
5366,672
5367,1156
5368,964
5369,1038
5370,622
5371,614
5372,172
5375,235
5376,677
5377,1328
5378,1167
5379,798
5380,619
5381,693
5385,257
5386,986
5387,931
5388,958
5389,974
5390,586
5391,697
5392,96
5395,350
5396,589
5397,567
5398,1048
5399,1139
5400,924
5401,761
5402,116
5406,222
5407,990
5408,809
5409,1048
5410,1040
5411,546
5412,699
5413,109
5416,210
5417,579
5418,1263
5419,1242
5420,831
5421,708
5422,623
5426,118
5427,1105
5428,826
5429,962
5430,892
5431,735
5432,640
5433,196
5436,183
5437,1059
5438,780
5439,1114
5440,1024
5441,610
5442,575
5443,159
5446,145
5447,658
5448,672
5449,1378
5450,1122
5451,570
5452,754
5453,142
5457,626
5458,838
5459,475
5460,378
5461,1005
5462,958
5463,816
5464,374
5469,578
5470,711
5471,948
5472,1257
5473,906
5474,920
5475,219
5479,194
5480,759
5481,789
5482,1180
5483,678
5484,997
5485,799
5486,22
5490,701
5491,769
5492,846
5493,1434
