t,f
384,73
385,112
386,266
387,228
388,95
389,208
390,75
391,167
392,152
393,199
394,184
395,159
396,234
397,181
398,108
399,202
400,143
401,117
402,234
403,119
404,86
405,218
406,118
407,184
408,212
409,167
410,197
411,146
412,133
413,153
414,83
415,191
416,101
417,212
418,63
419,189
420,158
421,57
422,205
423,247
424,86
425,137
426,151
427,40
428,140
429,49
430,76
431,160
432,227
433,111
434,101
435,154
436,260
437,137
438,152
439,80
440,305
441,309
442,268
443,194
444,184
445,206
446,49
447,183
448,338
449,76
450,126
451,271
452,96
453,222
454,259
455,183
456,222
457,185
458,171
459,85
460,167
461,216
462,126
463,121
464,266
465,92
466,125
467,185
468,141
469,122
470,214
471,242
472,73
473,151
474,193
475,86
476,119
477,128
478,170
479,101
480,252
481,176
482,104
483,156
484,286
485,83
486,91
487,124
488,218
489,278
490,280
491,157
492,240
493,208
494,205
495,211
496,209
497,262
498,168
499,89
500,160
501,277
502,101
503,215
504,159
505,203
506,278
507,157
508,183
509,185
510,129
511,181
512,193
513,213
514,186
515,194
516,134
517,250
518,162
519,169
520,124
521,102
522,170
523,228
524,61
525,154
526,247
527,86
528,168
529,227
530,120
531,222
532,155
533,25
534,78
535,97
536,133
537,92
538,34
539,171
540,108
541,113
542,177
543,129
544,227
545,179
546,91
547,96
548,118
549,75
550,133
551,53
552,83
553,83
554,125
555,122
556,181
557,337
558,59
559,143
560,184
561,400
562,119
563,92
564,88
565,92
566,103
567,109
568,95
569,98
570,141
571,78
572,95
573,229
574,153
575,152
576,217
577,249
578,176
579,136
580,187
581,261
582,184
583,116
584,134
585,150
586,190
587,65
588,150
589,146
590,96
591,159
592,190
593,112
594,260
595,104
596,116
597,172
598,85
599,136
600,84
601,54
602,115
603,75
604,87
605,108
606,115
607,242
608,239
609,121
610,108
611,249
612,104
613,132
614,219
615,110
616,138
617,105
618,277
619,183
620,75
621,231
622,162
623,147
624,307
625,70
626,103
627,222
628,104
629,128
630,168
631,93
632,169
633,162
634,160
635,237
636,122
637,190
638,128
639,51
640,155
641,67
642,78
643,69
644,123
645,118
646,153
647,129
648,209
649,198
650,169
651,120
652,166
653,167
654,128
655,82
656,112
657,230
658,168
659,87
660,236
661,133
662,121
663,220
664,150
665,67
666,186
667,214
668,140
669,125
670,157
671,116
672,71
673,302
674,133
675,117
676,225
677,134
678,157
679,131
680,250
681,192
682,166
683,161
684,244
685,106
686,177
687,154
688,155
689,212
690,147
691,190
692,226
693,172
694,104
695,326
696,121
697,258
698,143
699,121
700,165
701,191
702,106
703,236
704,148
705,76
706,267
707,90
708,129
709,136
710,126
711,219
712,96
713,172
714,144
715,86
716,148
717,92
718,171
719,240
720,74
721,77
722,127
723,75
724,158
725,82
726,70
727,231
728,268
729,116
730,183
731,140
732,158
733,116
734,277
735,175
736,191
737,129
738,85
739,162
740,119
741,209
742,120
743,96
744,127
745,145
746,133
747,114
748,130
749,110
750,206
751,159
752,177
753,187
754,196
755,189
756,199
757,278
758,141
759,170
760,223
761,80
762,153
763,186
764,84
765,124
766,218
767,123
768,218
769,146
770,160
771,222
772,120
773,143
774,205
775,88
776,181
777,234
778,49
779,284
780,124
781,105
782,246
783,88
784,190
785,185
786,114
787,198
788,137
789,40
790,167
791,143
792,155
793,118
794,135
795,169
796,93
797,127
798,119
799,279
800,164
801,140
802,56
803,176
804,66
805,61
806,71
807,51
808,98
809,98
810,117
811,150
812,160
813,116
814,121
815,171
816,253
817,121
818,77
819,161
820,131
821,149
822,174
823,125
824,258
825,105
826,266
827,166
828,211
829,200
830,242
831,180
832,84
833,317
834,214
835,104
836,165
837,187
838,90
839,126
840,98
841,209
842,177
843,92
844,205
845,177
846,113
847,111
848,132
849,78
850,185
851,87
852,75
853,76
854,106
855,157
856,199
857,236
858,88
859,139
860,160
861,132
862,298
863,193
864,38
865,310
866,209
867,124
868,143
869,209
870,191
871,222
872,155
873,191
874,177
875,214
876,182
877,190
878,194
879,172
880,143
881,156
882,152
883,238
884,152
885,229
886,189
887,138
888,152
889,170
890,206
891,149
892,147
893,183
894,111
895,178
896,128
897,164
898,216
899,176
900,245
901,158
902,169
903,229
904,121
905,193
906,138
907,147
908,188
909,136
910,212
911,172
912,149
913,159
914,173
915,148
916,203
917,190
918,167
919,176
920,161
921,171
922,120
923,206
924,218
925,200
926,167
927,145
928,204
929,110
930,140
931,134
932,185
933,239
934,116
935,185
936,164
937,203
938,207
939,87
940,224
941,89
942,222
943,119
944,190
945,190
946,105
947,230
948,166
949,181
950,106
951,204
952,129
953,184
954,178
955,120
956,280
957,179
958,119
959,82
960,154
961,205
962,102
963,106
964,165
965,61
966,188
967,67
968,209
969,169
970,143
971,79
972,102
973,90
974,74
975,58
976,55
977,79
978,142
979,102
980,67
981,160
982,280
983,124
984,73
985,140
986,236
987,164
988,159
989,127
990,141
991,107
992,130
993,200
994,164
995,160
996,115
997,136
998,204
999,124
1000,210
1001,137
1002,168
1003,158
1004,121
1005,172
1006,119
1007,192
1008,125
1009,137
1010,176
1011,237
1012,134
1013,168
1014,158
1015,156
1016,163
1017,152
1018,205
1019,181
1020,149
1021,158
1022,103
1023,122
1024,255
1025,89
1026,184
1027,142
1028,172
1029,100
1030,106
1031,128
1032,174
1033,103
1034,236
1035,144
1036,124
1037,169
1038,103
1039,162
1040,199
1041,151
1042,200
1043,158
1044,161
1045,186
1046,44
1047,178
1048,142
1049,173
1050,217
1051,91
1052,193
1053,163
1054,81
1055,223
1056,220
1057,244
1058,171
1059,144
1060,239
1061,125
1062,134
1063,212
1064,53
1065,194
1066,150
1067,50
1068,237
1069,134
1070,119
1071,178
1072,142
1073,163
1074,82
1075,205
1076,168
1077,105
1078,147
1079,178
1080,64
1081,206
1082,230
1083,120
1084,187
1085,165
1086,135
1087,159
1088,220
1089,131
1090,79
1091,190
1092,129
1093,210
1094,181
1095,203
1096,157
1097,101
1098,196
1099,122
1100,229
1101,151
1102,198
1103,136
1104,181
1105,203
1106,136
1107,233
1108,162
1109,148
1110,135
1111,135
1112,166
1113,208
1114,190
1115,182
1116,164
1117,159
1118,127
1119,228
1120,127
1121,114
1122,209
1123,183
1124,114
1125,190
1126,124
1127,148
1128,151
1129,201
1130,179
1131,121
1132,158
1133,119
1134,63
1135,149
1136,152
1137,97
1138,222
1139,72
1140,117
1141,134
1142,104
1143,122
1144,75
1145,77
1146,272
1147,134
1148,77
1149,166
1150,127
1151,87
1152,246
1153,62
1154,63
1155,143
1156,84
1157,108
1158,230
1159,189
1160,250
1161,179
1162,179
1163,346
1164,241
1165,197
1166,157
1167,322
1168,248
1169,163
1170,156
1171,99
1172,85
1173,129
1174,161
1175,229
1176,157
1177,153
1178,177
1179,111
1180,198
1181,140
1182,161
1183,129
1184,188
1185,98
1186,129
1187,203
1188,135
1189,157
1190,72
1191,88
1192,196
1193,141
1194,116
1195,120
1196,116
1197,103
1198,98
1199,304
1200,216
1201,202
1202,25
1203,88
1204,96
1205,88
1206,74
1207,89
1208,121
1209,193
1210,72
1211,116
1212,224
1213,294
1214,122
1215,136
1216,249
1217,263
1218,127
1219,91
1220,303
1221,179
1222,154
1223,137
1224,228
1225,185
1226,147
1227,108
1228,197
1229,153
1230,158
1231,170
1232,102
1233,132
1234,230
1235,159
1236,155
1237,164
1238,75
1239,131
1240,120
1241,158
1242,153
1243,183
1244,142
1245,120
1246,93
1247,200
1248,36
1249,134
1250,75
1251,35
1252,101
1253,124
1254,88
1255,80
1256,141
1257,205
1258,141
1259,99
1260,238
1261,113
1262,192
1263,165
1264,104
1265,145
1266,160
1267,151
1268,188
1269,195
1270,160
1271,196
1272,151
1273,118
1274,134
1275,142
1276,256
1277,191
1278,56
1279,315
1280,145
1281,63
1282,235
1283,168
1284,111
1285,176
1286,124
1287,154
1288,92
1289,106
1290,163
1291,119
1292,157
1293,209
1294,54
1295,179
1296,55
1297,157
1298,197
1299,57
1300,184
1301,195
1302,70
1303,241
1304,106
1305,75
1306,143
1307,66
1308,210
1309,171
1310,143
1311,190
1312,120
1313,101
1314,157
1315,122
1316,178
1317,109
1318,138
1319,176
1320,122
1321,161
1322,152
1323,104
1324,194
1325,74
1326,116
1327,188
1328,121
1329,143
1330,53
1331,165
1332,137
1333,106
1334,129
1335,169
1336,121
1337,213
1338,129
1339,107
1340,273
1341,114
1342,96
1343,72
1344,69
1345,28
1346,138
1347,46
1348,130
1349,184
1350,144
1351,182
1352,234
1353,166
1354,236
1355,156
1356,145
1357,359
1358,138
1359,173
1360,116
1361,136
1362,147
1363,114
1364,94
1365,111
1366,145
1367,90
1368,155
1369,93
1370,229
1371,138
1372,150
1373,168
1374,133
1375,161
1376,138
1377,214
1378,119
1379,149
1380,77
1381,124
1382,98
1383,107
1384,190
1385,45
1386,150
1387,136
1388,104
1389,248
1390,106
1391,87
1392,150
1393,110
1394,69
1395,151
1396,74
1397,103
1398,152
1399,107
1400,132
1401,154
1402,316
1403,123
1404,118
1405,185
1406,184
1407,118
1408,63
1409,146
1410,104
1411,166
1412,179
1413,124
1414,172
1415,156
1416,168
1417,163
1418,110
1419,213
1420,96
1421,130
1422,109
1423,82
1424,152
1425,75
1426,92
1427,167
1428,51
1429,351
1430,174
1431,68
1432,151
1433,123
1434,78
1435,91
1436,108
1437,179
1438,80
1439,58
1440,120
1441,147
1442,265
1443,212
1444,131
1445,139
1446,233
1447,132
1448,101
1449,112
1450,82
1451,193
1452,63
1453,204
1454,153
1455,106
1456,132
1457,107
1458,163
1459,160
1460,120
1461,188
1462,189
1463,116
1464,153
1465,97
1466,188
1467,123
1468,148
1469,127
1470,140
1471,119
1472,150
1473,162
1474,113
1475,128
1476,88
1477,122
1478,114
1479,106
1480,44
1481,168
1482,80
1483,172
1484,266
1485,147
1486,111
1487,96
1488,37
1489,113
1490,88
1491,88
1492,99
1493,106
1494,83
1495,179
1496,199
1497,167
1498,176
1499,239
1500,130
1501,198
1502,261
1503,126
1504,163
1505,64
1506,287
1507,104
1508,170
1509,142
1510,73
1511,159
1512,139
1513,60
1514,108
1515,91
1516,75
1517,156
1518,111
1519,256
1520,122
1521,95
1522,165
1523,99
1524,57
1525,150
1526,63
1527,42
1528,52
1529,101
1530,112
1531,86
1532,213
1533,290
1534,161
1535,57
1536,165
1537,222
1538,147
1539,85
1540,154
1541,135
1542,68
1543,100
1544,163
1545,75
1546,152
1547,220
1548,62
1549,140
1550,180
1551,102
1552,166
1553,74
1554,82
1555,149
1556,103
1557,165
1558,128
1559,195
1560,153
1561,69
1562,161
1563,173
1564,52
1565,171
1566,129
1567,31
1568,118
1569,63
1570,101
1571,107
1572,236
1573,86
1574,161
1575,115
1576,259
1577,219
1578,170
1579,245
1580,123
1581,118
1582,156
1583,81
1584,147
1585,105
1586,123
1587,136
1588,141
1589,190
1590,114
1591,196
1592,139
1593,160
1594,80
1595,285
1596,105
1597,241
1598,139
1599,91
1600,148
1601,106
1602,153
1603,110
1604,66
1605,160
1606,115
1607,73
1608,196
1609,49
1610,157
1611,305
1612,150
1613,128
1614,88
1615,62
1616,211
1617,39
1618,74
1619,77
1620,70
1621,126
1622,130
1623,295
1624,150
1625,123
1626,78
1627,237
1628,155
1629,192
1630,104
1631,165
1632,100
1633,132
1634,156
1635,134
1636,126
1637,114
1638,144
1639,121
1640,134
1641,56
1642,162
1643,96
1644,206
1645,171
1646,181
1647,167
1648,101
1649,133
1650,102
1651,200
1652,93
1653,225
1654,172
1655,181
1656,159
1657,159
1658,139
1659,142
1660,155
1661,156
1662,131
1663,155
1664,135
1665,162
1666,97
1667,149
1668,155
1669,172
1670,100
1671,201
1672,81
1673,137
1674,191
1675,74
1676,197
1677,169
1678,122
1679,160
1680,67
1681,104
1682,141
1683,46
1684,200
1685,161
1686,153
1687,198
1688,110
1689,64
1690,159
1691,117
1692,80
1693,161
1694,161
1695,176
1696,62
1697,147
1698,88
1699,162
1700,108
1701,127
1702,76
1703,97
1704,184
1705,97
1706,142
1707,180
1708,171
1709,86
1710,137
1711,162
1712,100
1713,83
1714,120
1715,141
1716,239
1717,65
1718,116
1719,97
1720,60
1721,193
1722,209
1723,183
1724,209
1725,179
1726,248
1727,277
1728,124
1729,129
1730,162
1731,193
1732,171
1733,239
1734,117
1735,170
1736,136
1737,221
1738,72
1739,178
1740,149
1741,194
1742,159
1743,117
1744,108
1745,105
1746,56
1747,220
1748,149
1749,104
1750,196
1751,44
1752,96
1753,197
1754,70
1755,85
1756,127
1757,120
1758,124
1759,50
1760,136
1761,97
1762,251
1763,162
1764,123
1765,85
1766,186
1767,78
1768,68
1769,79
1770,82
1771,57
1772,81
1773,80
1774,97
1775,216
1776,272
1777,109
1778,211
1779,161
1780,230
1781,111
1782,111
1783,117
1784,124
1785,104
1786,95
1787,162
1788,136
1789,104
1790,178
1791,68
1792,186
1793,155
1794,63
1795,176
1796,188
1797,99
1798,151
1799,117
1800,48
1801,195
1802,76
1803,88
1804,118
1805,277
1806,162
1807,94
1808,133
1809,96
1810,144
1811,98
1812,130
1813,111
1814,146
1815,125
1816,36
1817,91
1818,72
1819,20
1820,252
1821,128
1822,80
1823,117
1824,118
1825,197
1826,182
1827,122
1828,113
1829,184
1830,180
1831,97
1832,84
1833,131
1834,109
1835,116
1836,140
1837,87
1838,72
1839,144
1840,97
1841,39
1842,304
1843,97
1844,74
1845,102
1846,67
1847,142
1848,101
1849,49
1850,140
1851,186
1852,51
1853,69
1854,86
1855,184
1856,139
1857,201
1858,96
1859,72
1860,133
1861,233
1862,135
1863,119
1864,95
1865,112
1866,67
1867,115
1868,202
1869,70
1870,97
1871,196
1872,66
1873,110
1874,86
1875,42
1876,116
1877,128
1878,141
1879,130
1880,105
1881,124
1882,64
1883,110
1884,150
1885,81
1886,162
1887,154
1888,116
1889,232
1890,164
1891,64
1892,91
1893,191
1894,32
1895,123
1896,97
1897,92
1898,77
1899,147
1900,181
1901,303
1902,147
1903,227
1904,104
1905,56
1906,247
1907,165
1908,207
1909,145
1910,66
1911,149
1912,193
1913,42
1914,176
1915,157
1916,96
1917,179
1918,89
1919,83
1920,229
1921,82
1922,205
1923,128
1924,114
1925,192
1926,120
1927,119
1928,180
1929,165
1930,117
1931,169
1932,107
1933,143
1934,134
1935,98
1936,172
1937,145
1938,149
1939,210
1940,147
1941,174
1942,137
1943,119
1944,106
1945,192
1946,145
1947,97
1948,224
1949,103
1950,116
1951,121
1952,117
1953,153
1954,188
1955,154
1956,172
1957,154
1958,175
1959,169
1960,58
1961,110
1962,149
1963,82
1964,158
1965,163
1966,82
1967,197
1968,99
1969,102
1970,110
1971,134
1972,199
1973,142
1974,78
1975,191
1976,201
1977,72
1978,53
1979,61
1980,103
1981,105
1982,68
1983,176
1984,144
1985,208
1986,164
1987,168
1988,283
1989,251
1990,168
1991,76
1992,155
1993,204
1994,82
1995,172
1996,218
1997,196
1998,211
1999,105
2000,99
2001,104
2002,112
2003,58
2004,127
2005,49
2006,143
2007,114
2008,104
2009,51
2010,223
2011,141
2012,110
2013,239
2014,108
2015,166
2016,147
2017,128
2018,154
2019,195
2020,130
2021,160
2022,112
2023,114
2024,133
2025,98
2026,70
2027,106
2028,106
2029,265
2030,187
2031,108
2032,163
2033,69
2034,100
2035,121
2036,82
2037,48
2038,136
2039,120
2040,184
2041,112
2042,188
2043,173
2044,103
2045,112
2046,277
2047,204
2048,116
2049,126
2050,119
2051,96
2052,90
2053,177
2054,114
2055,88
2056,181
2057,128
2058,94
2059,178
2060,148
2061,149
2062,70
2063,169
2064,164
2065,142
2066,115
2067,156
2068,182
2069,84
2070,183
2071,73
2072,188
2073,157
2074,116
2075,168
2076,175
2077,157
2078,180
2079,111
2080,63
2081,221
2082,177
2083,161
2084,144
2085,109
2086,176
2087,99
2088,175
2089,131
2090,160
2091,166
2092,133
2093,159
2094,160
2095,130
2096,116
2097,139
2098,125
2099,178
2100,173
2101,183
2102,88
2103,165
2104,116
2105,70
2106,146
2107,88
2108,62
2109,130
2110,95
2111,137
2112,83
2113,92
2114,97
2115,20
2116,73
2117,55
2118,41
2119,65
2120,12
2121,58
2122,100
2123,149
2124,82
2125,46
2126,316
2127,141
2128,176
2129,178
2130,147
2131,119
2132,195
2133,230
2134,269
2135,274
2136,131
2137,181
2138,147
2139,175
2140,65
2141,92
2142,122
2143,90
2144,112
2145,131
2146,126
2147,179
2148,166
2149,141
2150,121
2151,143
2152,143
2153,117
2154,156
2155,96
2156,96
2157,146
2158,149
2159,107
2160,127
2161,205
2162,108
2163,186
2164,151
2165,133
2166,118
2167,98
2168,203
2169,82
2170,159
2171,65
2172,205
2173,77
2174,207
2175,144
2176,200
2177,118
2178,129
2179,128
2180,150
2181,156
2182,170
2183,159
2184,110
2185,167
2186,100
2187,171
2188,92
2189,175
2190,101
2191,126
2192,65
2193,196
2194,55
2195,153
2196,124
2197,87
2198,181
2199,129
2200,96
2201,207
2202,100
2203,112
2204,116
2205,155
2206,253
2207,74
2208,55
2209,111
2210,174
2211,119
2212,148
2213,178
2214,138
2215,171
2216,182
2217,214
2218,299
2219,131
2220,100
2221,203
2222,241
2223,181
2224,117
2225,193
2226,179
2227,222
2228,154
2229,123
2230,221
2231,117
2232,84
2233,157
2234,64
2235,96
2236,73
2237,62
2238,92
2239,120
2240,99
2241,71
2242,153
2243,161
2244,121
2245,143
2246,243
2247,128
2248,165
2249,135
2250,113
2251,159
2252,167
2253,120
2254,210
2255,118
2256,264
2257,107
2258,112
2259,145
2260,148
2261,132
2262,101
2263,102
2264,111
2265,120
2266,135
2267,207
2268,98
2269,169
2270,109
2271,153
2272,82
2273,68
2274,104
2275,64
2276,70
2277,99
2278,90
2279,137
2280,325
2281,169
2282,98
2283,127
2284,231
2285,177
2286,155
2287,113
2288,155
2289,155
2290,89
2291,142
2292,69
2293,178
2294,153
2295,126
2296,164
2297,129
2298,118
2299,177
2300,166
2301,71
2302,129
2303,60
2304,92
2305,168
2306,224
2307,105
2308,154
2309,164
2310,82
2311,49
2312,114
2313,68
2314,65
2315,117
2316,68
2317,62
2318,144
2319,200
2320,259
2321,145
2322,179
2323,290
2324,219
2325,215
2326,90
2327,140
2328,82
2329,173
2330,131
2331,134
2332,152
2333,102
2334,130
2335,118
2336,178
2337,122
2338,162
2339,140
2340,170
2341,107
2342,152
2343,90
2344,103
2345,144
2346,100
2347,94
2348,123
2349,96
2350,206
2351,240
2352,85
2353,85
2354,144
2355,88
2356,50
2357,109
2358,100
2359,110
2360,106
2361,129
2362,235
2363,168
2364,113
2365,149
2366,74
2367,250
2368,250
2369,141
2370,189
2371,114
2372,128
2373,156
2374,96
2375,101
2376,117
2377,89
2378,108
2379,103
2380,197
2381,100
2382,125
2383,147
2384,89
2385,41
2386,146
2387,112
2388,56
2389,82
2390,58
2391,120
2392,82
2393,352
2394,242
2395,128
2396,97
2397,107
2398,120
2399,118
2400,109
2401,99
2402,125
2403,88
2404,146
2405,135
2406,98
2407,107
2408,137
2409,99
2410,169
2411,110
2412,119
2413,104
2414,144
2415,137
2416,143
2417,122
2418,177
2419,147
2420,87
2421,116
2422,122
2423,144
2424,102
2425,113
2426,153
2427,148
2428,111
2429,186
2430,89
2431,151
2432,93
2433,140
2434,120
2435,166
2436,138
2437,159
2438,138
2439,101
2440,149
2441,86
2442,188
2443,160
2444,123
2445,67
2446,120
2447,69
2448,152
2449,128
2450,78
2451,107
2452,170
2453,198
2454,156
2455,99
2456,198
2457,146
2458,69
2459,101
2460,99
2461,107
2462,111
2463,94
2464,120
2465,181
2466,157
2467,208
2468,242
2469,272
2470,203
2471,170
2472,193
2473,184
2474,104
2475,101
2476,144
2477,155
2478,197
2479,115
2480,112
2481,132
2482,120
2483,199
2484,45
2485,162
2486,104
2487,34
2488,94
2489,61
2490,97
2491,119
2492,91
2493,79
2494,102
2495,94
2496,218
2497,95
2498,123
2499,202
2500,291
2501,233
2502,120
2503,69
2504,88
2505,187
2506,168
2507,148
2508,118
2509,60
2510,175
2511,143
2512,76
2513,140
2514,119
2515,166
2516,140
2517,211
2518,142
2519,158
2520,100
2521,166
2522,130
2523,156
2524,155
2525,78
2526,168
2527,123
2528,115
2529,79
2530,143
2531,98
2532,185
2533,124
2534,155
2535,165
2536,118
2537,139
2538,67
2539,162
2540,106
2541,125
2542,110
2543,160
2544,87
2545,136
2546,113
2547,166
2548,113
2549,93
2550,157
2551,96
2552,210
2553,75
2554,157
2555,92
2556,195
2557,157
2558,131
2559,131
2560,117
2561,136
2562,87
2563,145
2564,92
2565,111
2566,103
2567,152
2568,141
2569,104
2570,184
2571,124
2572,224
2573,94
2574,155
2575,127
2576,111
2577,128
2578,114
2579,81
2580,141
2581,105
2582,100
2583,119
2584,134
2585,60
2586,106
2587,152
2588,149
2589,119
2590,136
2591,116
2592,155
2593,193
2594,135
2595,134
2596,181
2597,124
2598,102
2599,128
2600,72
2601,181
2602,156
2603,199
2604,218
2605,209
2606,299
2607,148
2608,234
2609,163
2610,203
2611,150
2612,100
2613,61
2614,82
2615,111
2616,159
2617,219
2618,180
2619,191
2620,259
2621,87
2622,130
2623,79
2624,45
2625,110
2626,30
2627,41
2628,51
2629,222
2630,137
2631,193
2632,175
2633,76
2634,117
2635,157
2636,138
2637,156
2638,165
2639,170
2640,160
2641,140
2642,159
2643,156
2644,134
2645,300
2646,156
2647,192
2648,112
2649,139
2650,41
2651,102
2652,79
2653,71
2654,143
2655,143
2656,18
2657,172
2658,142
2659,203
2660,62
2661,193
2662,163
2663,171
2664,144
2665,248
2666,129
2667,120
2668,167
2669,168
2670,175
2671,122
2672,120
2673,102
2674,220
2675,99
2676,197
2677,81
2678,182
2679,131
2680,166
2681,117
2682,101
2683,160
2684,138
2685,139
2686,128
2687,192
2688,117
2689,104
2690,117
2691,166
2692,72
2693,170
2694,130
2695,123
2696,187
2697,85
2698,157
2699,101
2700,171
2701,81
2702,204
2703,112
2704,222
2705,84
2706,210
2707,112
2708,111
2709,155
2710,57
2711,162
2712,89
2713,135
2714,80
2715,110
2716,140
2717,170
2718,135
2719,166
2720,112
2721,88
2722,187
2723,106
2724,90
2725,101
2726,165
2727,107
2728,159
2729,172
2730,116
2731,163
2732,99
2733,108
2734,80
2735,142
2736,64
2737,152
2738,121
2739,149
2740,110
2741,65
2742,187
2743,177
2744,128
2745,159
2746,125
2747,113
2748,120
2749,97
2750,162
2751,109
2752,162
2753,220
2754,90
2755,58
2756,103
2757,147
2758,91
2759,178
2760,193
2761,184
2762,236
2763,220
2764,313
2765,185
2766,205
2767,209
2768,175
2769,102
2770,116
2771,96
2772,254
2773,163
2774,135
2775,154
2776,239
2777,201
2778,109
2779,215
2780,134
2781,169
2782,82
2783,109
2784,28
2785,87
2786,26
2787,67
2788,126
2789,61
2790,79
2791,127
2792,220
2793,111
2794,199
2795,122
2796,139
2797,149
2798,139
2799,169
2800,157
2801,142
2802,111
2803,93
2804,164
2805,146
2806,114
2807,88
2808,181
2809,103
2810,119
2811,139
2812,129
2813,112
2814,162
2815,50
2816,100
2817,88
2818,158
2819,126
2820,159
2821,82
2822,67
2823,120
2824,79
2825,181
2826,188
2827,138
2828,228
2829,111
2830,148
2831,132
2832,66
2833,181
2834,119
2835,104
2836,136
2837,96
2838,192
2839,144
2840,251
2841,189
2842,88
2843,190
2844,217
2845,167
2846,187
2847,216
2848,127
2849,83
2850,111
2851,156
2852,74
2853,137
2854,151
2855,113
2856,156
2857,135
2858,165
2859,171
2860,146
2861,152
2862,68
2863,138
2864,131
2865,116
2866,102
2867,164
2868,114
2869,141
2870,147
2871,179
2872,132
2873,127
2874,129
2875,117
2876,143
2877,105
2878,187
2879,190
2880,127
2881,129
2882,107
2883,159
2884,115
2885,84
2886,107
2887,131
2888,79
2889,117
2890,105
2891,83
2892,102
2893,149
2894,158
2895,122
2896,137
2897,216
2898,143
2899,100
2900,103
2901,42
2902,62
2903,49
2904,173
2905,144
2906,184
2907,207
2908,154
2909,194
2910,183
2911,156
2912,284
2913,196
2914,183
2915,189
2916,262
2917,197
2918,111
2919,118
2920,68
2921,120
2922,110
2923,104
2924,123
2925,165
2926,160
2927,86
2928,108
2929,141
2930,157
2931,126
2932,152
2933,92
2934,136
2935,80
2936,129
2937,110
2938,146
2939,169
2940,129
2941,68
2942,140
2943,111
2944,121
2945,158
2946,150
2947,127
2948,137
2949,135
2950,108
2951,174
2952,69
2953,123
2954,84
2955,142
2956,121
2957,99
2958,147
2959,77
2960,213
2961,105
2962,150
2963,129
2964,121
2965,116
2966,100
2967,114
2968,91
2969,167
2970,107
2971,128
2972,108
2973,99
2974,99
2975,112
2976,97
2977,149
2978,137
2979,95
2980,69
2981,84
2982,102
2983,104
2984,141
2985,174
2986,98
2987,102
2988,120
2989,99
2990,121
2991,117
2992,80
2993,167
2994,160
2995,136
2996,199
2997,137
2998,113
